EmployeeID,Age,Gender,MaritalStatus,JobRole,Department,EducationLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,MonthlyIncome,SalaryHikePercent,StockOptionLevel,OverTime,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,PerformanceRating,TrainingTimesLastYear,AbsenteeismDays,LateComingFrequency,BurnoutScore,EngagementScore,StressLevel,MentalWellbeingScore,SleepQuality,SickLeavesLastYear,HealthRiskScore,ExerciseFrequency,WorkHoursPerWeek,ChronicFatigueLevel,SalaryGrowthRate,PromotionGapYears,AvgMonthlyHours,ProjectsHandled,Attrition,TimeToLeaveMonths,AttritionReason
1047,46,Female,Married,Developer,Operations,2,33,23,25,20,114292,6.9,0,Yes,2,4,4,1,3,4,22,Low,77,61,4,49,Average,14,75,1,57,High,0,25,241,10,Yes,11,No Growth
1048,37,Female,Married,Manager,Sales,5,14,1,3,12,145045,16.8,0,No,3,4,2,1,1,4,12,High,26,75,4,49,Good,20,87,1,30,Low,9.87,3,141,19,No,0,None
1049,29,Female,Single,Sales Executive,IT,1,33,9,19,10,114411,19.9,1,Yes,3,1,3,2,5,4,4,Medium,45,74,2,52,Poor,19,42,5,55,High,3.7,19,239,19,No,0,None
1050,34,Female,Married,Analyst,Operations,1,31,18,19,30,92875,19.1,3,Yes,1,1,2,4,4,7,14,Low,54,67,3,54,Good,4,25,5,46,Low,7.82,19,205,5,Yes,19,Work-Life Imbalance
1051,24,Male,Divorced,Sales Executive,Finance,2,10,5,9,5,63261,12.7,3,No,3,4,1,1,4,8,14,High,33,92,1,69,Good,15,48,4,30,Medium,6.23,9,140,13,No,0,None
1052,41,Male,Single,Sales Executive,HR,3,35,18,4,24,94503,9.8,2,No,1,2,1,4,3,5,17,High,45,70,5,37,Poor,10,76,7,35,High,7.72,4,165,11,Yes,4,Better Opportunity
1053,28,Male,Married,HR,Operations,3,32,32,31,19,111286,10.1,2,No,4,3,1,4,3,10,25,High,20,86,1,66,Average,19,46,6,47,Low,12.84,31,206,1,No,0,None
1054,46,Male,Single,Manager,Finance,5,39,30,3,8,158887,9.2,3,No,3,2,4,3,5,5,21,Medium,26,72,3,50,Poor,17,52,4,43,Low,18.61,3,183,16,No,0,None
1055,38,Male,Married,HR,Sales,1,36,34,24,25,117538,0,1,Yes,3,1,3,4,3,7,6,Low,16,86,3,64,Average,7,58,0,45,Medium,3.69,24,203,16,No,0,None
1056,24,Female,Single,Sales Executive,HR,4,30,15,20,6,120458,5.9,2,No,1,2,1,2,4,2,29,High,60,69,4,54,Good,9,70,0,50,Low,8.3,20,223,18,Yes,21,Bad Management
1057,51,Female,Divorced,Sales Executive,Finance,3,12,12,1,5,82686,14.7,2,No,1,3,3,2,2,9,27,Medium,31,90,3,68,Poor,4,57,7,37,Low,10.7,1,160,11,No,0,None
1058,37,Female,Married,HR,Sales,2,3,0,3,2,58269,16.4,2,No,3,3,2,2,2,7,4,Low,44,77,5,54,Good,6,66,3,35,High,3.12,3,138,12,No,0,None
1059,22,Female,Single,Sales Executive,Operations,2,36,34,9,10,103429,15.3,0,No,4,1,4,1,4,2,16,Low,12,88,3,54,Good,6,36,1,47,Low,9.03,9,225,3,No,0,None
1060,48,Male,Married,Manager,Finance,3,24,14,12,12,161884,16.2,1,No,3,1,2,4,5,2,23,High,42,64,3,40,Average,12,50,3,40,Low,11.69,12,186,4,No,0,None
1061,20,Female,Married,Developer,HR,2,4,0,4,0,41858,12.5,0,Yes,1,4,4,2,5,3,24,High,81,63,3,58,Good,10,62,3,48,Medium,10.11,4,205,19,Yes,20,Work-Life Imbalance
1062,29,Female,Married,Analyst,IT,3,24,16,10,22,90624,11.4,3,Yes,4,2,2,3,2,7,29,Low,36,87,5,44,Poor,20,99,1,63,Low,4.36,10,269,9,No,0,None
1063,42,Female,Married,Developer,HR,5,35,13,30,13,164207,6.7,0,Yes,2,1,4,2,5,3,12,High,40,74,4,33,Poor,11,58,7,35,Medium,9.53,30,151,7,Yes,7,No Growth
1064,41,Male,Single,Manager,HR,1,16,13,9,4,95597,13.4,1,No,3,3,4,4,4,2,23,Medium,41,93,4,56,Good,1,61,0,41,High,6.67,9,177,5,No,0,None
1065,58,Male,Married,Developer,HR,5,29,11,1,19,120330,1.1,3,No,1,1,4,1,1,8,23,Low,47,76,4,55,Poor,3,48,2,40,Low,13.55,1,161,3,No,0,None
1066,41,Female,Married,Manager,HR,3,5,5,5,0,102192,12.7,3,Yes,1,2,1,4,4,10,25,Low,100,46,5,46,Good,18,79,7,47,Medium,17.01,5,187,6,Yes,22,No Growth
1067,38,Male,Single,Manager,Finance,1,19,5,18,7,71336,6.0,2,No,2,1,3,1,1,6,7,High,31,98,5,26,Poor,8,90,7,32,High,8.22,18,123,13,Yes,10,No Growth
1068,23,Female,Single,Manager,IT,1,17,4,12,4,93149,5.6,0,Yes,3,4,3,3,1,2,2,Low,31,88,4,51,Average,19,90,5,50,Medium,7.52,12,217,18,No,0,None
1069,33,Female,Single,Analyst,HR,2,17,9,8,15,79519,12.4,2,No,4,1,3,3,2,10,15,Medium,32,88,3,66,Good,12,63,5,32,High,9.56,8,129,10,No,0,None
1070,38,Female,Married,Analyst,Sales,2,25,10,9,23,84090,4.5,1,Yes,3,4,3,1,5,3,18,High,60,85,1,82,Average,14,28,4,51,High,6.68,9,223,5,No,0,None
1071,58,Male,Single,Manager,Finance,4,4,3,4,3,81875,6.9,3,No,3,1,1,2,3,2,20,Medium,10,89,4,56,Average,3,53,0,44,Medium,9.65,4,174,8,No,0,None
1072,46,Male,Married,Sales Executive,Operations,2,22,0,15,3,74493,20.8,0,Yes,2,3,3,3,4,3,16,Low,49,77,4,44,Good,3,55,0,56,Medium,3.31,15,255,8,Yes,5,Work-Life Imbalance
1073,51,Male,Single,Sales Executive,Finance,4,14,12,6,10,96588,16.6,3,No,2,4,4,4,1,3,6,Low,37,64,5,56,Poor,10,94,3,33,High,8.82,6,127,20,No,0,None
1074,42,Female,Married,HR,Sales,4,39,11,19,39,119099,6.0,2,Yes,3,1,2,3,2,8,12,Low,59,77,2,51,Good,5,43,2,45,Low,8.14,19,190,12,No,0,None
1075,18,Female,Single,Analyst,Operations,5,31,26,31,26,127973,4.8,1,Yes,1,2,3,1,3,3,17,Low,68,53,4,43,Good,11,65,0,50,Low,3.69,31,200,8,Yes,7,No Growth
1076,37,Female,Single,HR,Sales,1,28,27,3,24,89903,6.8,2,No,4,2,2,2,2,0,18,Low,26,99,3,64,Average,16,68,1,48,Medium,13.01,3,213,5,No,0,None
1077,26,Male,Married,Manager,Finance,4,9,9,4,6,103792,11.4,0,No,3,3,4,4,3,9,0,High,33,79,4,37,Good,17,66,6,41,Low,12.15,4,174,11,No,0,None
1078,53,Female,Married,Analyst,Sales,1,2,0,2,1,68359,11.2,1,No,1,4,2,2,3,2,27,High,41,93,3,68,Average,1,47,6,30,High,3.43,2,125,4,No,0,None
1079,18,Male,Single,Sales Executive,HR,5,28,0,0,22,121782,12.1,3,No,4,1,2,4,1,1,3,Low,35,78,2,54,Poor,18,57,0,36,Low,6.47,0,158,14,No,0,None
1080,57,Female,Divorced,Developer,IT,2,7,6,5,6,65753,12.5,2,No,2,3,1,3,2,8,19,Medium,44,69,1,75,Poor,12,29,1,40,Low,13.69,5,173,12,No,0,None
1081,38,Male,Divorced,Sales Executive,Finance,3,34,11,30,4,123578,10.2,2,Yes,1,4,3,4,4,6,2,Medium,56,70,1,67,Poor,4,29,5,41,High,11.6,30,174,14,No,0,None
1082,33,Male,Single,Analyst,IT,4,39,38,3,19,126942,3.7,1,Yes,2,1,2,4,3,8,16,Medium,63,62,2,63,Average,0,13,5,52,Low,5.02,3,220,3,No,0,None
1083,49,Male,Married,Analyst,Operations,2,23,5,8,3,103685,5.4,0,Yes,1,1,1,2,1,7,11,Low,85,76,1,51,Average,10,39,3,38,Low,11.21,8,155,2,Yes,19,Burnout
1084,29,Male,Married,Developer,Finance,1,29,27,9,24,110497,6.3,3,Yes,2,3,3,2,4,5,18,High,90,54,5,40,Average,7,59,5,41,Medium,3.36,9,176,10,Yes,15,Work-Life Imbalance
1085,24,Male,Divorced,Analyst,Finance,1,9,4,1,0,76165,4.9,3,No,3,4,1,1,5,2,20,High,47,82,4,45,Poor,10,51,6,36,Low,1.79,1,154,7,No,0,None
1086,26,Female,Married,Manager,IT,2,28,14,10,13,136254,13.2,1,No,4,3,1,1,2,10,9,High,28,83,3,65,Good,12,73,0,37,High,5.21,10,169,15,No,0,None
1087,53,Female,Single,Analyst,IT,2,7,0,0,3,73038,16.8,2,No,1,3,1,1,1,3,28,Medium,47,72,3,73,Poor,18,90,6,43,Low,4.39,0,182,7,No,0,None
1088,29,Male,Married,Manager,IT,5,39,39,15,18,146941,10.1,3,Yes,3,4,2,4,2,10,28,Medium,50,100,5,48,Average,11,58,7,41,High,6.73,15,166,6,No,0,None
1089,19,Male,Single,HR,IT,4,33,22,14,10,143738,14.3,2,No,1,2,4,3,2,2,7,Medium,53,58,5,55,Good,18,94,2,35,High,7.0,14,159,10,No,0,None
1090,29,Female,Single,Manager,Operations,2,1,1,0,1,80752,8.3,1,Yes,2,3,1,1,2,9,22,High,69,46,3,65,Average,3,47,5,48,Low,10.05,0,223,16,No,0,None
1091,59,Male,Married,Sales Executive,Operations,3,14,10,9,13,83804,13.8,2,Yes,1,4,1,2,5,5,29,High,48,66,1,77,Average,7,18,5,54,High,7.73,9,245,11,No,0,None
1092,46,Male,Single,Developer,Sales,3,6,5,0,0,58630,15.3,1,No,4,4,3,4,1,7,25,High,16,79,2,46,Poor,0,44,5,39,Low,9.88,0,172,3,No,0,None
1093,53,Female,Divorced,HR,Operations,5,30,22,0,13,138425,8.9,3,Yes,1,3,2,2,4,8,23,High,43,74,3,56,Average,15,60,2,50,Low,8.12,0,221,16,No,0,None
1094,30,Male,Single,HR,IT,4,7,4,6,7,51987,10.5,0,No,4,2,3,4,3,2,14,Low,19,93,3,50,Average,3,42,1,32,Medium,1.67,6,137,2,No,0,None
1095,42,Female,Married,Sales Executive,Finance,5,15,15,9,2,76773,16.0,0,No,2,1,4,2,2,3,25,Low,50,76,4,53,Poor,19,97,4,34,High,13.84,9,157,18,Yes,23,Work-Life Imbalance
1096,38,Female,Married,Developer,Operations,5,33,26,7,26,162436,15.2,0,No,1,3,3,4,3,6,20,Low,41,77,3,44,Average,12,64,0,30,Medium,13.01,7,139,9,No,0,None
1097,41,Male,Married,HR,Sales,3,31,6,14,8,104280,17.8,2,Yes,4,1,2,4,2,6,23,Low,35,81,1,66,Poor,16,48,6,60,High,13.88,14,264,7,No,0,None
1098,21,Male,Married,HR,HR,3,23,14,16,12,90913,8.1,0,Yes,4,4,2,4,5,8,11,Low,56,65,1,69,Poor,18,44,3,57,Medium,3.48,16,243,1,No,0,None
1099,18,Male,Single,Manager,Operations,1,14,4,9,12,110189,7.2,2,No,4,3,4,3,2,7,9,Medium,36,73,1,100,Good,11,42,4,38,Low,9.83,9,177,9,No,0,None
1100,34,Female,Divorced,HR,HR,2,33,15,3,25,93918,3.6,0,No,3,3,4,4,4,0,18,Medium,21,86,2,58,Average,11,30,4,48,High,1.67,3,208,5,No,0,None
